Fecha,Producto ,region,Canal,unidades_vendidas,Precio Unitario,ingreso
2024-07-02,TECLADO,Sur,Tienda,5,46.44,"232,20"
2024-04-18,Mouse,Norte,on-line,5,24.81,"124,05"
2025-06-20,Monitor,Oeste,Tienda,5,204.97,"1.024,85 €"
2025-06-29,Mouse,Este,Tienda,3,25.56,"76,68 €"
30/09/2024,Mouse,Este,Online,1,26.18,"26,18"
2025-11-25,Auriculares,Norte,Online,1,88.71,"88,71"
2025-12-14,Auriculares,NORTE,Online,3,85.84,"257,52"
2025-06-30,Webcam,Norte,Distribuidor,3,53.62,"160,86"
2025-12-10,Monitor,Oeste,Distribuidor,2,181.94,"363,88"
2025-09-09,Mouse,Norte,Online,3,24.73,"74,19 €"
2024-09-19,Auriculares,desconocida,Distrib.,3,74.37,"223,11"
2024-07-29,Webcam,Oeste,online,3,63.07,"189,21"
2024-11-25,AURICULARES,Sur,Online ,2,90.29,"180,58"
2025-03-02,Monitor,Norte,Online,5,233.53,"1.167,65 €"
2025-10-06,MOUSE,Norte,Online,2,24.01,"48,02"
2025-12-09,Mouse,  Este ,Online,5,24.52,"122,60 €"
23/04/2024,Auriculares,Centro,Tienda,1,90.66,"90,66"
2024-06-11,Auriculares,Oeste,Online,4,92.26,"369,04 €"
2025-11-08,Teclado,Centro,Tienda,3,44.82,"134,46"
2025-11-22, Webcam,Norte,Online,4,62.78,"251,12"
2024-11-09,Mouse,Norte,Online,5,25.33,"€126,65"
2024-10-13,Auriculares,Oeste,ONLINE,4,90.52,"362,08 €"
2025-12-06,Auriculares,ESTE,Distribuidor,2,77.85,"155,70"
2024-12-11,Teclado,Norte,Tienda,2,45.69,"91,38"
2025-05-09,Auriculares,Norte,Online,3,89.93,"269,79 €"
2025-04-21,Auriculares,,Tienda,1,86.77,"86,77"
2025-12-02,Webcam,centro,online,4,65.24,"260,96"
2024-06-07,Mouse,Sur,Online,4,24.7,"98,80"
2025-12-30,Webcam,Centro,Distrib.,5,55.52,"277,60"
2025-08-17,Teclado,Sur,Online,3,47.28,"141,84 €"
28/07/2024,Monitor,Centro,Distrib.,2,178.39,"356,78 €"
2024-12-21,Auriculares,NORTE,Online,5,92.04,"460,20 €"
2024-12-13,Mouse,Oeste,Online,4,25.2,"100,80"
17/03/2024,Teclado,Sur,Tienda,3,46.67,"140,01 €"
2025-09-08,Auriculares,Oeste,Tienda,2,86.11,"172,22 €"
2025-11-19,Webcam,Norte,Online,3,65.88,"197,64"
2024-11-21,Auriculares,  Centro ,Online,3,89.89,"269,67"
2024-03-06,Mouse,Centro,Online,1,NULL,"839,56"
2025-12-26,Webcam,Oeste,Tienda,1,64.85,"64,85"
2025-11-24,Auriculares,Norte,Tienda,1,90.15,"90,15"
2025-08-04,MOUSE,Sur,Online,1,25.46,"25,46 €"
2024-02-04,Mouse,Este,Tienda,4,25.62,"102,48"
2024-11-05,Auriculares,Sur,Tienda,2,91.72,"183,44"
24/06/2024,Mouse,Este,Online,5,24.41,"122,05"
2024-06-03,Mouse,oeste,Online,1,26.07,"26,07 €"
2025-11-09,Mouse,Norte,Online,4,24.45,"97,80"
2024-12-21,Monitor,Este,Online,3,221.57,"664,71 €"
2024-09-03,Auriculares,NORTE,Online,5,92.87,"464,35 €"
2025-06-28,Teclado,Centro,Online,2,45.63,"91,26"
2024-10-25,Teclado,Este,TIENDA,2,46.32,"92,64"
2024-12-22,Mouse,NORTE,Online,3,25.07,"75,21 €"
2024-12-07,Teclado,CENTRO,Online,5,46.68,"€233,40"
2025-09-26,Monitor,Norte,Distribuidor,5,169.49,"847,45 €"
2024-12-26,Auriculares,Este,Online,1,90.16,"90,16"
2024-11-03,Auriculares,Este,tienda,2,89.68,"179,36"
2024-05-11,Mouse,Sur,Online,2,25.3,"50,60"
2025-11-25,Auriculares,Oeste,Tienda,2,91.21,"182,42"
2025-11-23,Auriculares,Oeste,Distribuidor,2,72.82,"145,64"
2025-02-17,Mouse,Oeste,Online,3,25.46,"76,38"
2024-12-13,Auriculares,Centro,Online,5,85.75,"428,75"
2024-05-24, Mouse,  Centro ,Distribuidor,null,21.28,"€106,40 €"
2025-10-25,Mouse,Oeste,Tienda,3,25.31,"75,93"
2025-03-29,Auriculares,Norte,Tienda,2,92.1,"184,20"
2024-06-11,Auriculares,Norte,Online,5,88.62,"443,10"
2024-01-19,Mouse,Este,Online,2,24.87,"49,74"
2024-12-01,Monitor,NORTE,online,4,225.87,"314,95"
11-03-2025,Teclado,  Norte ,Online,3,44.16,"132,48"
2024-04-01,Mouse,  Sur ,Tienda,8372,23.95,"23,95 €"
2024-04-18,Teclado,Norte,Tienda,1,46.24,"46,24"
2025-03-21,Teclado,Norte,Tienda Fisica,1,45.17,"45,17"
2024-12-03,Teclado,Norte,Distribuidor,1,37.42,"37,42"
2024-02-23,Teclado,Este,Online,1,47.66,"47,66"
2025-12-19,Mouse,Oeste,Online,5,25.58,"127,90 €"
2024-11-01,Teclado,Norte,Tienda,2,43.12,"86,24"
2024-05-23,Monitor,Oeste,Tienda,N/A,216.9,"650,70"
2025-03-23,Webcam,Centro,Online,3,64.47,"€193,41"
2024-09-22,Monitor,Sur,Tienda,3,216.54,"649,62 €"
2024-11-20,Auriculares,Norte,Tienda,1,86.49,"86,49"
2025-09-05,Monitor,Centro,Online,3,208.54,"625,62 €"
2024-04-11,Mouse,Oeste,Online,1,24.79,"24,79"
2024-12-19,Teclado,Sur,Distribuidor,1,35.04,"35,04 €"
2024-10-31, Webcam,Oeste,Tienda,2,63.59,"127,18 €"
2025-12-16,Teclado,Sur,Distribuidor,2,39.71,"79,42"
2025-07-13,Auriculares,Norte,Distribuidor,2,77.81,"155,62"
2024-11-17,Teclado,Centro,Distribuidor,4,37.94,"151,76"
2024-09-12,Monitor,Norte,Online,4,NULL,"913,28"
2024-12-24,Webcam,Oeste,online,5,63.57,"317,85"
2024-05-10,Mouse,  Norte ,Distribuidor,4,21.27,"85,08"
2025-11-15,Mouse,Centro,Online,4,25.52,"102,08 €"
2024-06-04,Mouse,Norte,Online,4,26.16,"104,64 €"
2024-05-25,Mouse,Este,Online,3,25.91,"77,73 €"
2024-04-11,Monitor,Norte,Online,3,n/a,"651,21"
2025-12-25,Teclado,Sur,online,4,45.48,"181,92 €"
,Teclado,Oeste,Online,N/A,45.88,"229,40"
2024-09-18,Mouse,Norte,Tienda,5,24.59,"122,95"
18/04/2025,Mouse,CENTRO,ONLINE,1,24.28,"24,28 €"
2025-03-29,Mouse,Sur,Distribuidor,1,19.41,"19,41"
2024-09-18,Mouse,NORTE,Distribuidor,3,21.35,"64,05 €"
2025-02-03,Auriculares,Norte,Distribuidor,1,73.37,"€73,37"
2025-02-11,Mouse,Norte,Tienda,5,24.86,"124,30"
2025-03-14,Mouse,Oeste,Online,1,24.85,"24,85"
2025-11-08, Auriculares,Sur,Distribuidor,4,73.82,"295,28 €"
04-21-2024,Monitor,Norte,ONLINE,-4,219.86,"439,72 €"
2025-12-05,Webcam,Sur,DISTRIBUIDOR,2,52.11,"104,22"
2024-12-31,Monitor,Oeste,Distribuidor ,5,177.19,"885,95"
2025-10-17,Mouse,Oeste,Online,2,25.49,"50,98"
2024-11-10,Auriculares,Este,Tienda,3,92.46,"277,38"
01/02/2024,Webcam,Oeste,Tienda física,3,62.31,"186,93"
09/05/2025,Mouse,Sur,Tienda,1,24.1,"463,10"
2024-07-15,Webcam,Sur,Tienda Fisica,3,60.84,"182,52"
05-16-2025,Webcam,Este,Tienda,5,63.49,"317,45"
2025-09-11,Auriculares,Sur,Online,2,92.45,"184,90 €"
2024-11-05,Monitor,Oeste,Online,1,216.47,"216,47 €"
2025-01-25,Mouse,Sur,on-line,2,24.68,"49,36 €"
2024-03-02, Auriculares,Sur,Online,1,86.95,"86,95"
2025-10-05,Mouse,Norte,Online,3,25.56,"76,68 €"
2024-11-14,TECLADO,NORTE,Distribuidor,2,37.69,"75,38"
2025-08-01,Monitor,OESTE,ONLINE,3,222.19,"666,57"
2025-03-05,Monitor,  Sur ,Distribuidor,3,186.32,"558,96 €"
2025-10-26, Teclado,Centro,Tienda,3,46.84,"140,52 €"
2025-08-25,Auriculares,Norte,Online,4,92.64,"370,56"
11-13-2024,Webcam,Sur,Distribuidor,5,52.47,"262,35 €"
2024-03-05,Mouse,Este,Distribuidor,3,20.61,"61,83"
2025-12-12,WEBCAM,Norte,Tienda,2,64.89,"129,78"
2024-12-19,Webcam,Oeste,tienda,4,64.6,"258,40"
2025-02-11,Mouse,Sur,Tienda,2,24.76,"49,52"
2024-05-22,Mouse,Centro,Online,3,23.9,"71,70"
2025-12-03,Auriculares,Norte,Tienda,3,88.45,"265,35"
06-15-2025,Auriculares,Centro,Tienda,1,88.99,"88,99"
,Webcam,SUR,Online ,4,63.67,"254,68 €"
2025-11-26,Auriculares,Sur,Tienda,1,90.57,"90,57 €"
2025-08-21,Monitor,Norte,Tienda,2,208.53,"417,06"
2025-05-30,Auriculares,Este,Online,1,94.43,"€94,43 €"
2024-06-03,Monitor,Sur,Tienda,4,220.79,"883,16 €"
2025-09-09,Mouse,Centro,Online,5,25.07,"125,35"
2025-06-04,Teclado,Oeste,online,4,43.94,"175,76"
2024-12-24,Webcam,Oeste,Distribuidor,5,50.61,"253,05"
2024-11-04,Auriculares,Centro,Online,1,93.94,"€93,94 €"
2025-12-15,Teclado,Este,Tienda,5,43.72,"218,60"
2024-05-05,Mouse,Norte,Online,2,24.8,"49,60"
2024-10-26,Mouse,Centro,Distribuidor,N/A,21.0,"€42,00 €"
2025-10-28, Webcam,Oeste,Tienda,4,61.47,"838,22"
11/11/2024,Teclado,Centro,Tienda,4,45.06,"180,24"
2024-06-16,Monitor,Norte,Tienda,2,232.13,"464,26"
11-18-2025,Teclado,Este,Online,3,47.8,"143,40 €"
2024-02-23,Mouse,Centro,Online,5,25.12,"125,60"
2024-06-14,Monitor,?,Online,2,216.12,"€432,24"
03/06/2025,Webcam,Sur,Online,3,60.35,"181,05"
2025-02-27,Mouse,Norte,DISTRIBUIDOR,5,,"103,45"
2024-08-08,Monitor,Norte,Online,2,227.17,"€454,34"
12-20-2025,Monitor,ESTE,Distribuidor,1,175.62,"175,62"
2025-08-30,Auriculares,Este,Distribuidor,5,74.66,"373,30 €"
24/11/2025,Teclado,Este,Tienda,4,43.83,"175,32 €"
2025-07-06,Teclado,CENTRO,Online,2,46.07,"92,14"
2025-11-30,Teclado,Norte,Online,2,44.88,"89,76 €"
2025-02-09,Teclado,Oeste,Tienda,5,45.02,"€225,10 €"
2024-12-04,Auriculares,Norte,Distribuidor,3,68.94,"206,82"
2024-07-28,Teclado,Sur,Tienda,3,43.34,"130,02"
2024-12-11, Teclado,Oeste,Online,4,45.33,"181,32"
2025-11-25,Webcam,Sur,on-line,3,63.22,"189,66"
2024-06-24,Teclado,Centro,on-line,2,46.05,"92,10"
2025-12-12,Teclado,Centro,Online,3,45.63,"136,89 €"
2024-08-15,Mouse,Norte,Distribuidor,2,20.8,"41,60 €"
10-04-2024,Teclado,Norte,Online,3,44.86,"134,58"
2025-11-08,Mouse,Oeste,Tienda,1,25.37,"25,37"
2025-08-24,Monitor,Norte,Tienda,4,211.86,"847,44"
2024-07-21,Mouse,Norte,Tienda,2,27.08,"54,16 €"
2025-05-28,Monitor,Sur,Online,3,212.0,"636,00 €"
2025-09-14,Auriculares,Sur,Distribuidor,1,76.21,"76,21"
2025-11-19,Mouse,Norte,tienda,4,23.03,"92,12 €"
04-20-2025,TECLADO,OESTE,Tienda,1,42.27,"42,27"
2025-05-05,Teclado,Oeste,Online ,5,46.87,"234,35"
2025-12-22,Monitor,Este,Online ,2,221.04,"442,08 €"
2025-08-14,Monitor,CENTRO,Online,2,224.75,"449,50"
2024-08-03,Mouse,Oeste,Tienda,3,25.21,"75,63"
2025-09-28,Mouse,,Online,5,24.4,"122,00 €"
2024-12-31,Monitor,Oeste,Tienda,3,215.13,"645,39"
2024-07-29,Mouse,Norte,Online,1,23.17,"23,17 €"
2024-09-20,Auriculares,Este,Distribuidor,2,74.62,"€149,24 €"
2024-08-09,Auriculares,Oeste,Tienda,3,89.2,"267,60"
2025-02-27,Auriculares,Sur,Distribuidor,3,77.11,"231,33 €"
2025-12-23,WEBCAM,Centro,Distribuidor,4,51.78,"207,12"
2025-11-12,Auriculares,Sur,ONLINE,3,89.29,"267,87"
2024-08-25,Webcam,SUR,Online,3,65.43,"196,29"
2025-11-10,Teclado,Norte,Online,4,46.21,"184,84 €"
2025-01-10,Auriculares,Centro,Tienda,5,87.22,"436,10"
2024-08-04,Monitor,Centro,DISTRIBUIDOR,5,180.36,"901,80"
02/12/2025,Auriculares,Centro,Online,3,87.72,"263,16"
2025-03-25,Monitor,Este,Tienda,4,221.04,"884,16"
2025-07-20,Webcam,Oeste,Online,1,64.9,"64,90 €"
2025-12-20,Monitor,Oeste,Online,5,218.89,"1.094,45"
2024-03-28,Webcam,Oeste,Online,3,64.57,"€193,71"
2025-10-28,Webcam,Oeste,on-line,5,65.0,"325,00"
10-04-2025,Mouse,Este,Distribuidor,2,21.44,"42,88"
2025-08-13, Monitor,Centro,Online,2,232.41,"464,82 €"
2024-05-11,Teclado,Centro,Online,1,46.98,"€46,98 €"
2024-04-22,Mouse,OESTE,Distribuidor,2,21.11,"42,22"
2025-01-24,Auriculares,SUR,Distribuidor,2,73.43,"146,86"
2025-03-04, Monitor,Oeste,Online,1,220.79,"€220,79 €"
2025-12-09,Webcam,Norte,Tienda,4,65.36,"261,44"
2025-06-03,Webcam,Sur,Tienda,2,64.07,"128,14"
2025-09-01,Auriculares,Oeste,Distribuidor,2,67.19,"134,38"
2024-09-29,Auriculares,OESTE,Online,5,90.3,"€451,50 €"
2024-05-14,Mouse,Oeste,Online,3,24.85,"€74,55"
2025-11-25,Teclado,Norte,Distribuidor,1,n/a,"35,42 €"
2024-11-20,Webcam,Centro,Distribuidor,2,52.62,"105,24"
2025-02-13,Teclado,Centro,ONLINE,2,44.24,"88,48"
2025-09-05,AURICULARES,oeste,Distribuidor,4,76.38,"305,52 €"
24/07/2024,Auriculares,Este,Tienda física,5,92.3,"461,50 €"
,Monitor,Norte,Online,3,219.85,"659,55"
2025-12-27,Auriculares,Centro,Tienda Fisica,5,93.26,"466,30"
2025-05-05,Mouse,Norte,Distribuidor,3,19.85,"59,55 €"
14/05/2024,Auriculares,Este,Online,2,87.55,"175,10"
2024-12-13,Teclado,Norte,Online,4,44.42,"€177,68 €"
2024-12-24,AURICULARES,NORTE,Online,1,93.04,"93,04 €"
2024-01-28, Teclado,Este,Online,3,45.55,"136,65 €"
2024-05-21,Monitor,  Oeste ,TIENDA,2,215.15,"430,30 €"
04/11/2024,Teclado,oeste,Distribuidor,5,37.19,"185,95"
2025-04-14,Mouse,SUR,Distribuidor,3,21.07,"63,21 €"
2024-03-10,Auriculares,Centro,tienda,2,88.03,"176,06"
2025-02-23,Auriculares,Norte,Tienda,5,90.95,"454,75"
2025-10-30,Teclado,Este,Online,3,45.12,"135,36 €"
13/02/2025,Teclado,Este,Online,4,42.98,"171,92 €"
2025-01-26,AURICULARES,Oeste,Tienda,4,89.67,"358,68"
2025-09-27,Auriculares,Este,Tienda,4,86.44,"345,76 €"
2024-10-30,Teclado,Oeste,Online,3,46.16,"138,48"
2024-09-18,Monitor,Sur,Tienda,2,236.61,"473,22 €"
2025-12-06,Mouse,Este,ONLINE,5,24.31,"121,55 €"
2025-04-16,Mouse,Norte,Distrib.,3,20.4,"61,20 €"
14/06/2024,Monitor,Este,Online,3,216.56,"649,68"
2025-11-30,Teclado,Norte,Online,5,45.02,"225,10"
03-05-2024,Webcam,Este,Tienda,1,62.07,"62,07 €"
2025-08-26,Mouse,  Oeste ,Tienda,5,24.55,"122,75 €"
2024-11-18,Webcam,Norte,Distribuidor,5,53.49,"267,45"
2025-04-16,Webcam,Norte,Online,1,65.37,"65,37"
2024-08-24,Teclado,Centro,Tienda,4,45.91,"183,64 €"
2025-12-25,Teclado,Sur,Tienda,5,n/a,"220,95"
,Auriculares,Oeste,Online,5,86.9,"434,50"
2025-10-01,Mouse,Centro,Online,N/A,25.33,"126,65"
2025-02-07,Monitor,Sur,tienda,4,207.36,"829,44"
2024-07-21,Mouse,Este,on-line,5,25.45,"127,25"
06/03/2024, Auriculares,OESTE,Tienda,5,90.18,"450,90 €"
2024-08-01,AURICULARES,Norte,Tienda,3,90.53,"271,59"
2024-04-03,Auriculares,Centro,Tienda,4,89.33,"357,32"
2025-04-12,Webcam,Norte,Online,3,63.26,"189,78"
2024-11-20,Mouse,NORTE,Tienda,4,25.81,"103,24"
2025-05-31,Auriculares,Centro,Tienda,2,88.12,"176,24 €"
2024-01-23,Monitor,Oeste,Distribuidor,1,170.72,"170,72 €"
2024-07-30,Monitor,Centro,Tienda,5,234.52,"1.172,60 €"
2025-02-24,Monitor,Norte,Tienda,1,204.66,"204,66 €"
2024-09-23,Auriculares,sur,Online,1,88.13,"88,13"
2024-06-10,Teclado,Oeste,on-line,2,47.0,"94,00"
04/09/2024,Teclado,Este,distribuidor,4,38.71,"154,84 €"
2025-02-16,Auriculares,Norte,Online,4,88.68,"354,72 €"
2024-08-28,Monitor,Sur,Tienda,4,212.94,"851,76 €"
2024-12-11,Webcam,Centro,ONLINE,4,61.92,"247,68"
04-09-2024,Teclado,Sur,Online,-,45.16,"225,80 €"
13/10/2024,Auriculares,Centro,Distrib.,1,75.52,"75,52 €"
2025-05-22,Mouse,OESTE,Online ,3,23.6,"70,80"
2024-07-26,Monitor,Sur,Tienda,2,212.17,"424,34 €"
2024-11-28,Mouse,Sur,Tienda,2,24.86,"49,72"
2025-11-20,Mouse,Este,Tienda,4,24.31,"97,24"
2025-05-24,Auriculares,SUR,Online,4,89.65,"358,60"
2025-01-26,Mouse,Este,Online,3,24.87,"€74,61"
2024-09-30,Teclado,oeste,Online ,2,45.07,"90,14"
2024-11-30,Teclado,Centro,Distribuidor,4,37.58,"150,32 €"
12-25-2025,Monitor,Sur,Tienda,-,222.53,"667,59"
2024-06-01,Webcam,Sur,Tienda,1,60.38,"60,38 €"
30/03/2025,Monitor,Este,Tienda,5,222.42,"1.112,10"
2025-03-15,Mouse,Oeste,Online,4,24.48,"97,92 €"
2024-09-11,Monitor,Oeste,Online,2,225.33,"450,66"
2024-06-11,Teclado,Centro,Online,4,44.46,"€177,84"
2025-07-24,Mouse,Centro,Tienda,2,24.87,"49,74 €"
03/06/2024,Teclado,Este,Online ,3,46.58,"139,74 €"
2024-04-18,Mouse,Norte,ONLINE,4,25.91,"€103,64"
2025-12-02,Auriculares,Este,Online,2,89.83,"179,66 €"
2024-09-15,Auriculares,Sur,Online,2,90.46,"180,92 €"
2024-12-08,Monitor,Este,Online,2,221.25,"442,50"
2025-12-02,Auriculares,Norte,Tienda,1,93.1,"93,10"
2025-11-07,Teclado,Norte,Tienda,2,45.95,"91,90"
2025-12-03,Webcam,SUR,Online,5,63.37,"316,85 €"
2024-11-03,Monitor,Sur,Tienda,3,208.55,"625,65"
2024-12-31,Teclado,Sur,Online,4,43.72,"174,88 €"
2025-01-13,Mouse,Este,Tienda,3,23.54,"70,62"
2025-05-14,Monitor,Oeste,Tienda,4,216.33,"865,32 €"
2025-06-12,Teclado,Sur,Tienda,1,45.84,"45,84"
2024-08-17,Mouse,Este,Online,4,25.14,"100,56"
2024-07-01,Auriculares,Norte,Online,2,86.57,"173,14"
2025-10-13,Auriculares,Centro,Online,N/A,87.96,"263,88"
2024-04-24,Webcam,Sur,online,1,61.8,"61,80"
2024-12-21,Mouse,  Oeste ,Online,5,24.85,"124,25 €"
2025-06-12,Teclado,Norte,Tienda,3,46.36,"€139,08"
2024-12-02,Webcam,oeste,Distribuidor,4,52.75,"211,00"
2024-04-20,Teclado,Norte,Online,1,45.05,"45,05 €"
2024-01-01,Auriculares,ESTE,Online,5,89.69,"448,45 €"
2024-04-08,Mouse,sur,Online,4,25.7,"102,80"
2024-11-06,Teclado,Oeste,Tienda,4,47.69,"190,76"
11-09-2025,Mouse,Oeste,Distribuidor,4,19.64,"78,56"
2025-09-08,Mouse,CENTRO,Online,4,24.71,"€98,84"
25/06/2024,Monitor,Norte,Online,4,228.17,"912,68"
2025-09-11,Teclado,Este,ONLINE,5,45.08,"225,40 €"
2024-11-05,Mouse,  Sur ,Distribuidor,1,21.32,"21,32"
2024-11-17,Mouse,centro,Tienda Fisica,2,0.0,"50,14 €"
2024-01-10,Monitor,Sur,Online,3,216.6,"649,80"
2024-11-11,Mouse,  Oeste ,Distribuidor,1,20.24,"20,24"
2025-11-01,Teclado,Este,Tienda,5,44.81,"224,05"
2024-04-03,Teclado,Centro,Online,5,44.22,"221,10"
2025-03-19,Mouse,Norte,Distribuidor,4,21.12,"84,48"
2025-03-31,Teclado,Centro,Online,2,43.12,"€86,24 €"
2025-01-26,Webcam,Norte,tienda,4,NULL,"253,04"
05/12/2024,Auriculares,Norte,Online,2,89.7,"179,40"
2024-11-25,Monitor,Oeste,Distribuidor,5,181.35,"€906,75"
2024-06-02,Auriculares,NORTE,Tienda,3,89.51,"268,53 €"
2024-10-21,Mouse,centro,Online,2,25.51,"51,02"
2025-11-10,Auriculares,este,Distribuidor,4,74.82,"299,28 €"
2025-11-30,Teclado,Centro,Tienda,3,44.49,"€133,47"
2025-10-05,Mouse,,Online,5,26.7,"133,50"
2025-07-31,Teclado,oeste,Tienda,3,46.54,"139,62"
2025-07-24,Monitor,Norte,Online,-1,222.89,"€222,89"
2025-11-23,Monitor,sur,Online,1,220.01,"220,01"
2024-07-08,Webcam,Sur,TIENDA,5,66.06,"€330,30"
2024-06-14,Monitor,Este,Online,3,213.42,"€640,26 €"
2024-02-03,Mouse,Oeste,Tienda,5,23.68,"118,40"
2024-04-12,Auriculares,Norte,Distribuidor,2,75.89,"151,78"
2025-12-10,Auriculares,Oeste,Tienda,3,86.97,"260,91 €"
2025-07-20,Teclado,Este,Online,3,45.44,"136,32"
13/03/2025,Webcam,NORTE,Online,1,62.07,"62,07"
2025-10-29,Auriculares,Norte,Online,3,88.68,"266,04"
17/11/2024,Auriculares,Oeste,Tienda,3,93.09,"279,27"
2025-03-02,Auriculares,Este,Online,2,90.29,"180,58"
2024-12-05,Mouse,Sur,Online,1,24.74,"24,74 €"
2024-12-18,Webcam,Este,Online,1,64.35,"64,35"
2025-11-20,Auriculares,Norte,Tienda Fisica,2,87.93,"175,86 €"
2024-12-28,Auriculares,?,Tienda,2,91.34,"182,68 €"
2025-12-04,Teclado,  Oeste ,tienda,-3,45.73,"137,19 €"
2024-01-10,Mouse,Oeste,Tienda,5,26.46,"132,30"
2024-04-10,Monitor,Centro,tienda,2,222.51,"445,02"
12-25-2025,Monitor,Norte,Online,1,224.12,"224,12 €"
28/08/2025,Webcam,Este,Tienda,4,66.03,"264,12"
2024-04-07,Monitor,Sur,Distribuidor,5,179.24,"896,20"
06/04/2025,Monitor,Sur,Tienda Fisica,2,213.4,"426,80"
2024-11-23,Webcam,Norte,Online,1,66.89,"66,89 €"
2024-05-26,Auriculares,Norte,Distribuidor,3,73.45,"220,35 €"
2025-11-08,TECLADO,Norte,Tienda,1,46.09,"46,09"
2025-02-09,Webcam,Centro,Online,5,61.79,"308,95"
2024-07-25,Mouse,Oeste,Online,5,25.36,"126,80"
10/07/2025,Mouse,Norte,Tienda,5,25.29,"126,45 €"
2024-02-09,Webcam,Este,Online,2,63.94,"127,88 €"
2024-08-20,Webcam,  Oeste ,Distribuidor,3,55.58,"166,74"
2024-07-03,Webcam,Oeste,Tienda,2,63.09,"596,58"
2025-10-31,Monitor,  Este ,Online,2,221.58,"443,16 €"
2025-12-26,Mouse,Oeste,Distribuidor,5,20.27,"101,35"
2025-07-19,WEBCAM,Sur,distribuidor,,50.91,"€203,64 €"
2024-04-26,Auriculares,Centro,Tienda,3,86.4,"259,20"
2024-07-10,Webcam,Este,Tienda,4,64.58,"258,32"
23/03/2024,Teclado,Oeste,ONLINE,5,44.54,"222,70 €"
2025-09-17,Teclado,Oeste,Tienda Fisica,2,47.46,"94,92"
