fecha,producto,region,canal,unidades_vendidas,precio_unitario,ingreso
2024-04-21,Monitor,Norte,Online,2.0,219.86,439.72
2025-12-05,Webcam,Sur,Distribuidor,2.0,52.11,104.22
2024-12-31,Monitor,Oeste,Distribuidor,5.0,177.19,885.95
2025-10-17,Mouse,Oeste,Online,2.0,25.49,50.98
2024-11-10,Auriculares,Este,Tienda,3.0,92.46,277.38
2024-02-01,Webcam,Oeste,Tienda,3.0,62.31,186.93
2025-05-09,Mouse,Sur,Tienda,1.0,24.1,463.1
2024-07-15,Webcam,Sur,Tienda,3.0,60.84,182.52
2025-05-16,Webcam,Este,Tienda,5.0,63.49,317.45
2025-09-11,Auriculares,Sur,Online,2.0,92.45,184.9
2024-11-05,Monitor,Oeste,Online,1.0,216.47,216.47
2025-01-25,Mouse,Sur,Online,2.0,24.68,49.36
2024-03-02,Auriculares,Sur,Online,1.0,86.95,86.95
2025-10-05,Mouse,Norte,Online,3.0,25.56,76.68
2024-11-14,Teclado,Norte,Distribuidor,2.0,37.69,75.38
2025-08-01,Monitor,Oeste,Online,3.0,222.19,666.57
2025-03-05,Monitor,Sur,Distribuidor,3.0,186.32,558.96
2025-10-26,Teclado,Centro,Tienda,3.0,46.84,140.52
2025-08-25,Auriculares,Norte,Online,4.0,92.64,370.56
2024-11-13,Webcam,Sur,Distribuidor,5.0,52.47,262.35
2024-03-05,Mouse,Este,Distribuidor,3.0,20.61,61.83
2025-12-12,Webcam,Norte,Tienda,2.0,64.89,129.78
2024-12-19,Webcam,Oeste,Tienda,4.0,64.6,258.4
2025-02-11,Mouse,Sur,Tienda,2.0,24.76,49.52
2024-05-22,Mouse,Centro,Online,3.0,23.9,71.7
2025-12-03,Auriculares,Norte,Tienda,3.0,88.45,265.35
2025-06-15,Auriculares,Centro,Tienda,1.0,88.99,88.99
,Webcam,Sur,Online,4.0,63.67,254.68
2025-11-26,Auriculares,Sur,Tienda,1.0,90.57,90.57
2025-08-21,Monitor,Norte,Tienda,2.0,208.53,417.06
2025-05-30,Auriculares,Este,Online,1.0,94.43,94.43
2024-06-03,Monitor,Sur,Tienda,4.0,220.79,883.16
2025-09-09,Mouse,Centro,Online,5.0,25.07,125.35
2025-06-04,Teclado,Oeste,Online,4.0,43.94,175.76
2024-12-24,Webcam,Oeste,Distribuidor,5.0,50.61,253.05
2024-11-04,Auriculares,Centro,Online,1.0,93.94,93.94
2025-12-15,Teclado,Este,Tienda,5.0,43.72,218.6
2024-05-05,Mouse,Norte,Online,2.0,24.8,49.6
2024-10-26,Mouse,Centro,Distribuidor,2.0,21.0,42.0
2025-10-28,Webcam,Oeste,Tienda,4.0,61.47,838.22
2024-11-11,Teclado,Centro,Tienda,4.0,45.06,180.24
2024-06-16,Monitor,Norte,Tienda,2.0,232.13,464.26
2025-11-18,Teclado,Este,Online,3.0,47.8,143.4
2024-02-23,Mouse,Centro,Online,5.0,25.12,125.6
2024-06-14,Monitor,,Online,2.0,216.12,432.24
2025-06-03,Webcam,Sur,Online,3.0,60.35,181.05
2025-02-27,Mouse,Norte,Distribuidor,5.0,20.69,103.45
2024-08-08,Monitor,Norte,Online,2.0,227.17,454.34
2025-12-20,Monitor,Este,Distribuidor,1.0,175.62,175.62
2025-08-30,Auriculares,Este,Distribuidor,5.0,74.66,373.3
2025-11-24,Teclado,Este,Tienda,4.0,43.83,175.32
2025-07-06,Teclado,Centro,Online,2.0,46.07,92.14
2025-11-30,Teclado,Norte,Online,2.0,44.88,89.76
2025-02-09,Teclado,Oeste,Tienda,5.0,45.02,225.1
2024-12-04,Auriculares,Norte,Distribuidor,3.0,68.94,206.82
2024-07-28,Teclado,Sur,Tienda,3.0,43.34,130.02
2024-12-11,Teclado,Oeste,Online,4.0,45.33,181.32
2025-11-25,Webcam,Sur,Online,3.0,63.22,189.66
2024-06-24,Teclado,Centro,Online,2.0,46.05,92.1
2025-12-12,Teclado,Centro,Online,3.0,45.63,136.89
2024-08-15,Mouse,Norte,Distribuidor,2.0,20.8,41.6
2024-04-10,Teclado,Norte,Online,3.0,44.86,134.58
2025-11-08,Mouse,Oeste,Tienda,1.0,25.37,25.37
2025-08-24,Monitor,Norte,Tienda,4.0,211.86,847.44
2024-07-21,Mouse,Norte,Tienda,2.0,27.08,54.16
2025-05-28,Monitor,Sur,Online,3.0,212.0,636.0
2025-09-14,Auriculares,Sur,Distribuidor,1.0,76.21,76.21
2025-11-19,Mouse,Norte,Tienda,4.0,23.03,92.12
2025-04-20,Teclado,Oeste,Tienda,1.0,42.27,42.27
2025-05-05,Teclado,Oeste,Online,5.0,46.87,234.35
2025-12-22,Monitor,Este,Online,2.0,221.04,442.08
2025-08-14,Monitor,Centro,Online,2.0,224.75,449.5
2024-08-03,Mouse,Oeste,Tienda,3.0,25.21,75.63
2025-09-28,Mouse,,Online,5.0,24.4,122.0
2024-12-31,Monitor,Oeste,Tienda,3.0,215.13,645.39
2024-07-29,Mouse,Norte,Online,1.0,23.17,23.17
2024-09-20,Auriculares,Este,Distribuidor,2.0,74.62,149.24
2024-08-09,Auriculares,Oeste,Tienda,3.0,89.2,267.6
2025-02-27,Auriculares,Sur,Distribuidor,3.0,77.11,231.33
2025-12-23,Webcam,Centro,Distribuidor,4.0,51.78,207.12
2025-11-12,Auriculares,Sur,Online,3.0,89.29,267.87
2024-08-25,Webcam,Sur,Online,3.0,65.43,196.29
2025-11-10,Teclado,Norte,Online,4.0,46.21,184.84
2025-01-10,Auriculares,Centro,Tienda,5.0,87.22,436.1
2024-08-04,Monitor,Centro,Distribuidor,5.0,180.36,901.8
2025-12-02,Auriculares,Centro,Online,3.0,87.72,263.16
2025-03-25,Monitor,Este,Tienda,4.0,221.04,884.16
2025-07-20,Webcam,Oeste,Online,1.0,64.9,64.9
2025-12-20,Monitor,Oeste,Online,5.0,218.89,1094.45
2024-03-28,Webcam,Oeste,Online,3.0,64.57,193.71
2025-10-28,Webcam,Oeste,Online,5.0,65.0,325.0
2025-04-10,Mouse,Este,Distribuidor,2.0,21.44,42.88
2025-08-13,Monitor,Centro,Online,2.0,232.41,464.82
2024-05-11,Teclado,Centro,Online,1.0,46.98,46.98
2024-04-22,Mouse,Oeste,Distribuidor,2.0,21.11,42.22
2025-01-24,Auriculares,Sur,Distribuidor,2.0,73.43,146.86
2025-03-04,Monitor,Oeste,Online,1.0,220.79,220.79
2025-12-09,Webcam,Norte,Tienda,4.0,65.36,261.44
2025-06-03,Webcam,Sur,Tienda,2.0,64.07,128.14
2025-09-01,Auriculares,Oeste,Distribuidor,2.0,67.19,134.38
2024-09-29,Auriculares,Oeste,Online,5.0,90.3,451.5
2024-05-14,Mouse,Oeste,Online,3.0,24.85,74.55
2025-11-25,Teclado,Norte,Distribuidor,1.0,35.42,35.42
2024-11-20,Webcam,Centro,Distribuidor,2.0,52.62,105.24
2025-02-13,Teclado,Centro,Online,2.0,44.24,88.48
2025-09-05,Auriculares,Oeste,Distribuidor,4.0,76.38,305.52
2024-07-24,Auriculares,Este,Tienda,5.0,92.3,461.5
,Monitor,Norte,Online,3.0,219.85,659.55
2025-12-27,Auriculares,Centro,Tienda,5.0,93.26,466.3
2025-05-05,Mouse,Norte,Distribuidor,3.0,19.85,59.55
2024-05-14,Auriculares,Este,Online,2.0,87.55,175.1
2024-12-13,Teclado,Norte,Online,4.0,44.42,177.68
2024-12-24,Auriculares,Norte,Online,1.0,93.04,93.04
2024-01-28,Teclado,Este,Online,3.0,45.55,136.65
2024-05-21,Monitor,Oeste,Tienda,2.0,215.15,430.3
2024-11-04,Teclado,Oeste,Distribuidor,5.0,37.19,185.95
2025-04-14,Mouse,Sur,Distribuidor,3.0,21.07,63.21
2024-03-10,Auriculares,Centro,Tienda,2.0,88.03,176.06
2025-02-23,Auriculares,Norte,Tienda,5.0,90.95,454.75
2025-10-30,Teclado,Este,Online,3.0,45.12,135.36
2025-02-13,Teclado,Este,Online,4.0,42.98,171.92
2025-01-26,Auriculares,Oeste,Tienda,4.0,89.67,358.68
2025-09-27,Auriculares,Este,Tienda,4.0,86.44,345.76
2024-10-30,Teclado,Oeste,Online,3.0,46.16,138.48
2024-09-18,Monitor,Sur,Tienda,2.0,236.61,473.22
2025-12-06,Mouse,Este,Online,5.0,24.31,121.55
2025-04-16,Mouse,Norte,Distribuidor,3.0,20.4,61.2
2024-06-14,Monitor,Este,Online,3.0,216.56,649.68
2025-11-30,Teclado,Norte,Online,5.0,45.02,225.1
2024-05-03,Webcam,Este,Tienda,1.0,62.07,62.07
2025-08-26,Mouse,Oeste,Tienda,5.0,24.55,122.75
2024-11-18,Webcam,Norte,Distribuidor,5.0,53.49,267.45
2025-04-16,Webcam,Norte,Online,1.0,65.37,65.37
2024-08-24,Teclado,Centro,Tienda,4.0,45.91,183.64
2025-12-25,Teclado,Sur,Tienda,5.0,44.19,220.95
,Auriculares,Oeste,Online,5.0,86.9,434.5
2025-10-01,Mouse,Centro,Online,5.0,25.33,126.65
2025-02-07,Monitor,Sur,Tienda,4.0,207.36,829.44
2024-07-21,Mouse,Este,Online,5.0,25.45,127.25
2024-03-06,Auriculares,Oeste,Tienda,5.0,90.18,450.9
2024-08-01,Auriculares,Norte,Tienda,3.0,90.53,271.59
2024-04-03,Auriculares,Centro,Tienda,4.0,89.33,357.32
2025-04-12,Webcam,Norte,Online,3.0,63.26,189.78
2024-11-20,Mouse,Norte,Tienda,4.0,25.81,103.24
2025-05-31,Auriculares,Centro,Tienda,2.0,88.12,176.24
2024-01-23,Monitor,Oeste,Distribuidor,1.0,170.72,170.72
2024-07-30,Monitor,Centro,Tienda,5.0,234.52,1172.6
2025-02-24,Monitor,Norte,Tienda,1.0,204.66,204.66
2024-09-23,Auriculares,Sur,Online,1.0,88.13,88.13
2024-06-10,Teclado,Oeste,Online,2.0,47.0,94.0
2024-09-04,Teclado,Este,Distribuidor,4.0,38.71,154.84
2025-02-16,Auriculares,Norte,Online,4.0,88.68,354.72
2024-08-28,Monitor,Sur,Tienda,4.0,212.94,851.76
2024-12-11,Webcam,Centro,Online,4.0,61.92,247.68
2024-09-04,Teclado,Sur,Online,5.0,45.16,225.8
2024-10-13,Auriculares,Centro,Distribuidor,1.0,75.52,75.52
2025-05-22,Mouse,Oeste,Online,3.0,23.6,70.8
2024-07-26,Monitor,Sur,Tienda,2.0,212.17,424.34
2025-11-20,Mouse,Este,Tienda,4.0,24.31,97.24
2025-05-24,Auriculares,Sur,Online,4.0,89.65,358.6
2025-01-26,Mouse,Este,Online,3.0,24.87,74.61
2024-09-30,Teclado,Oeste,Online,2.0,45.07,90.14
2024-11-30,Teclado,Centro,Distribuidor,4.0,37.58,150.32
2025-12-25,Monitor,Sur,Tienda,3.0,222.53,667.59
2024-06-01,Webcam,Sur,Tienda,1.0,60.38,60.38
2025-03-30,Monitor,Este,Tienda,5.0,222.42,1112.1
2025-03-15,Mouse,Oeste,Online,4.0,24.48,97.92
2024-09-11,Monitor,Oeste,Online,2.0,225.33,450.66
2024-06-11,Teclado,Centro,Online,4.0,44.46,177.84
2025-07-24,Mouse,Centro,Tienda,2.0,24.87,49.74
2024-06-03,Teclado,Este,Online,3.0,46.58,139.74
2024-04-18,Mouse,Norte,Online,4.0,25.91,103.64
2025-12-02,Auriculares,Este,Online,2.0,89.83,179.66
2024-09-15,Auriculares,Sur,Online,2.0,90.46,180.92
2024-12-08,Monitor,Este,Online,2.0,221.25,442.5
2025-12-02,Auriculares,Norte,Tienda,1.0,93.1,93.1
2025-11-07,Teclado,Norte,Tienda,2.0,45.95,91.9
2025-12-03,Webcam,Sur,Online,5.0,63.37,316.85
2024-11-03,Monitor,Sur,Tienda,3.0,208.55,625.65
2024-12-31,Teclado,Sur,Online,4.0,43.72,174.88
2025-01-13,Mouse,Este,Tienda,3.0,23.54,70.62
2025-05-14,Monitor,Oeste,Tienda,4.0,216.33,865.32
2025-06-12,Teclado,Sur,Tienda,1.0,45.84,45.84
2024-08-17,Mouse,Este,Online,4.0,25.14,100.56
2024-07-01,Auriculares,Norte,Online,2.0,86.57,173.14
2025-10-13,Auriculares,Centro,Online,3.0,87.96,263.88
2024-04-24,Webcam,Sur,Online,1.0,61.8,61.8
2024-12-21,Mouse,Oeste,Online,5.0,24.85,124.25
2025-06-12,Teclado,Norte,Tienda,3.0,46.36,139.08
2024-12-02,Webcam,Oeste,Distribuidor,4.0,52.75,211.0
2024-04-20,Teclado,Norte,Online,1.0,45.05,45.05
2024-01-01,Auriculares,Este,Online,5.0,89.69,448.45
2024-04-08,Mouse,Sur,Online,4.0,25.7,102.8
2024-11-06,Teclado,Oeste,Tienda,4.0,47.69,190.76
2025-09-11,Mouse,Oeste,Distribuidor,4.0,19.64,78.56
2025-09-08,Mouse,Centro,Online,4.0,24.71,98.84
2024-06-25,Monitor,Norte,Online,4.0,228.17,912.68
2025-09-11,Teclado,Este,Online,5.0,45.08,225.4
2024-11-05,Mouse,Sur,Distribuidor,1.0,21.32,21.32
2024-11-17,Mouse,Centro,Tienda,2.0,25.07,50.14
2024-01-10,Monitor,Sur,Online,3.0,216.6,649.8
2024-11-11,Mouse,Oeste,Distribuidor,1.0,20.24,20.24
2025-11-01,Teclado,Este,Tienda,5.0,44.81,224.05
2024-04-03,Teclado,Centro,Online,5.0,44.22,221.1
2025-03-19,Mouse,Norte,Distribuidor,4.0,21.12,84.48
2025-03-31,Teclado,Centro,Online,2.0,43.12,86.24
2025-01-26,Webcam,Norte,Tienda,4.0,63.26,253.04
2024-12-05,Auriculares,Norte,Online,2.0,89.7,179.4
2024-11-25,Monitor,Oeste,Distribuidor,5.0,181.35,906.75
2024-06-02,Auriculares,Norte,Tienda,3.0,89.51,268.53
2024-10-21,Mouse,Centro,Online,2.0,25.51,51.02
2025-11-10,Auriculares,Este,Distribuidor,4.0,74.82,299.28
2025-11-30,Teclado,Centro,Tienda,3.0,44.49,133.47
2025-10-05,Mouse,,Online,5.0,26.7,133.5
2025-07-31,Teclado,Oeste,Tienda,3.0,46.54,139.62
2025-07-24,Monitor,Norte,Online,1.0,222.89,222.89
2025-11-23,Monitor,Sur,Online,1.0,220.01,220.01
2024-07-08,Webcam,Sur,Tienda,5.0,66.06,330.3
2024-06-14,Monitor,Este,Online,3.0,213.42,640.26
2024-02-03,Mouse,Oeste,Tienda,5.0,23.68,118.4
2024-04-12,Auriculares,Norte,Distribuidor,2.0,75.89,151.78
2025-12-10,Auriculares,Oeste,Tienda,3.0,86.97,260.91
2025-07-20,Teclado,Este,Online,3.0,45.44,136.32
2025-03-13,Webcam,Norte,Online,1.0,62.07,62.07
2025-10-29,Auriculares,Norte,Online,3.0,88.68,266.04
2024-11-17,Auriculares,Oeste,Tienda,3.0,93.09,279.27
2025-03-02,Auriculares,Este,Online,2.0,90.29,180.58
2024-12-05,Mouse,Sur,Online,1.0,24.74,24.74
2024-12-18,Webcam,Este,Online,1.0,64.35,64.35
2025-11-20,Auriculares,Norte,Tienda,2.0,87.93,175.86
2024-12-28,Auriculares,,Tienda,2.0,91.34,182.68
2025-12-04,Teclado,Oeste,Tienda,3.0,45.73,137.19
2024-01-10,Mouse,Oeste,Tienda,5.0,26.46,132.3
2024-04-10,Monitor,Centro,Tienda,2.0,222.51,445.02
2025-12-25,Monitor,Norte,Online,1.0,224.12,224.12
2025-08-28,Webcam,Este,Tienda,4.0,66.03,264.12
2024-04-07,Monitor,Sur,Distribuidor,5.0,179.24,896.2
2025-04-06,Monitor,Sur,Tienda,2.0,213.4,426.8
2024-11-23,Webcam,Norte,Online,1.0,66.89,66.89
2024-05-26,Auriculares,Norte,Distribuidor,3.0,73.45,220.35
2025-11-08,Teclado,Norte,Tienda,1.0,46.09,46.09
2025-02-09,Webcam,Centro,Online,5.0,61.79,308.95
2024-07-25,Mouse,Oeste,Online,5.0,25.36,126.8
2025-07-10,Mouse,Norte,Tienda,5.0,25.29,126.45
2024-02-09,Webcam,Este,Online,2.0,63.94,127.88
2024-08-20,Webcam,Oeste,Distribuidor,3.0,55.58,166.74
2024-07-03,Webcam,Oeste,Tienda,2.0,63.09,596.58
2025-10-31,Monitor,Este,Online,2.0,221.58,443.16
2025-12-26,Mouse,Oeste,Distribuidor,5.0,20.27,101.35
2025-07-19,Webcam,Sur,Distribuidor,4.0,50.91,203.64
2024-04-26,Auriculares,Centro,Tienda,3.0,86.4,259.2
2024-07-10,Webcam,Este,Tienda,4.0,64.58,258.32
2024-03-23,Teclado,Oeste,Online,5.0,44.54,222.7
2025-09-17,Teclado,Oeste,Tienda,2.0,47.46,94.92
2025-04-03,Teclado,Sur,Online,1.0,45.01,45.01
2024-09-05,Teclado,Norte,Tienda,2.0,46.65,93.3
2025-11-24,Teclado,Centro,Online,1.0,42.55,42.55
2024-12-16,Monitor,Norte,Online,4.0,220.55,882.2
,Teclado,,Tienda,5.0,46.6,233.0
2024-11-06,Webcam,Norte,Tienda,1.0,62.4,62.4
2025-08-30,Mouse,Oeste,Online,1.0,24.52,24.52
2024-08-20,Auriculares,Oeste,Online,2.0,90.53,181.06
2025-05-04,Auriculares,Sur,Distribuidor,3.0,74.32,222.96
2025-08-28,Webcam,Sur,Online,3.0,67.39,202.17
2024-12-04,Auriculares,Oeste,Distribuidor,4.0,72.4,289.6
2024-07-11,Teclado,Norte,Online,2.0,45.11,90.22
2024-05-28,Mouse,Sur,Distribuidor,4.0,20.28,81.12
2024-06-28,Auriculares,Oeste,Tienda,1.0,94.32,94.32
2024-10-01,Webcam,Sur,Online,1.0,60.91,60.91
2024-07-10,Auriculares,Este,Tienda,1.0,92.42,92.42
2024-12-17,Monitor,Norte,Distribuidor,5.0,174.61,873.05
